project,resource_name,tech,status,queue_id,capacity_mw,hub,county,grade,overall_score,completeness_pct,verification_score,calibration_score,eia_crosswalk,eia_plant_id,sced_actuals,gen_profile,plant_value,location_confidence,portal,missing_fields,coverage
Brightside,BRIGHTSD_UNIT1,Solar,operating,,50.7,South,Bee,D,53.3,80.0,80,0,True,63223,True,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL
Emerald Grove,EIA_63233,Solar,operating,,108.0,West,Pecos,D,53.3,100.0,60,0,True,63233,False,False,False,high,,,Registry; Solar Forecast
2W Permian Solar Project Hybrid,EUNICE_PV1,Solar,operating,,420.0,West,Andrews,A,100.0,100.0,100,100,True,63255,True,True,True,medium,,,Registry; Solar Forecast; SCED ETL; Plant Value
Wagyu,EIA_63273,Solar,operating,,120.0,South,Brazoria,D,53.3,100.0,60,0,True,63273,False,False,False,high,,,Registry; Solar Forecast
Titan Solar Project,EIA_63320,Solar,operating,,260.0,West,Culberson,D,53.3,100.0,60,0,True,63320,False,False,False,medium,,,Registry; Solar Forecast
Juno Solar Project,EIA_63328,Solar,operating,,305.6,West,Borden,C,73.3,80.0,40,100,True,63328,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Aragorn Solar Project,ARAGORN_UNIT1,Solar,operating,,187.2,West,Culberson,C,66.7,100.0,100,0,True,63329,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
Galloway 2 Solar Farm,EIA_63343,Solar,operating,,110.0,North,Concho,D,53.3,100.0,60,0,True,63343,False,False,False,medium,,,Registry; Solar Forecast
Bluebell Solar II,EIA_63351,Solar,operating,,115.0,West,Sterling,D,53.3,100.0,60,0,True,63351,False,False,False,high,,,Registry; Solar Forecast
Oxy Renewable Energy - Goldsmith,EIA_63388,Solar,operating,,16.8,West,Ector,D,53.3,100.0,60,0,True,63388,False,False,False,high,,,Registry; Solar Forecast
Crane Solar Project,FWLR_SLR_UNIT1,Solar,operating,,150.0,West,Crane,C,66.7,100.0,100,0,True,63519,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
"La Chalupa, LLC",CHALUPA_UNIT1,Wind,operating,,198.5,South,Cameron,D,48.9,66.7,80,0,True,63624,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
Coyote Wind LLC,COYOTE_W_UNIT1,Wind,operating,,242.5,West,Scurry,D,48.9,66.7,80,0,True,63655,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
Helena Wind,EIA_63738,Wind,operating,,268.2,South,Bee,F,35.6,66.7,40,0,True,63738,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Las Majadas Wind Farm,EIA_63739,Wind,operating,,272.6,South,Willacy,F,35.6,66.7,40,0,True,63739,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Elm Branch Solar 1,STRATEGC_UNIT1,Solar,operating,,134.7,North,Ellis,C,66.7,100.0,100,0,True,63764,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
Briar Creek Solar 1,VISION_UNIT1,Solar,operating,,127.0,North,Navarro,C,66.7,100.0,100,0,True,63769,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
Ellis Solar LLC,EIA_63797,Solar,operating,,80.0,North,Ellis,D,53.3,100.0,60,0,True,63797,False,False,False,high,,,Registry; Solar Forecast
Sparta Solar,SPARTA_UNIT1,Solar,operating,,250.0,South,Bee,D,53.3,80.0,80,0,True,63840,True,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL
Samson Solar Energy III LLC,EIA_63883,Solar,operating,,250.0,North,Lamar,D,53.3,100.0,60,0,True,63883,False,False,False,medium,,,Registry; Solar Forecast
Lily Solar Hybrid,EIA_63892,Solar,operating,,146.7,North,Kaufman,D,53.3,100.0,60,0,True,63892,False,False,False,high,,,Registry; Solar Forecast
Azure Sky Solar,AZURE_SOLAR1,Solar,operating,,225.0,North,Haskell,C,66.7,100.0,100,0,True,63905,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
